Model,Dataset,AUC,Accuracy,Precision,Recall,F1,Profit_Score,Cutoff
Regresja logistyczna,Treningowy,0.748977054574426,0.6869555926171971,0.16069586929381752,0.6814755136099442,0.2600665429509493,0.03476854659389529,0.6367173988925461
Regresja logistyczna,Testowy,0.7477731034473498,0.692045873349665,0.16155386205114958,0.6717239527389903,0.2604643898375677,0.021118788764945877,0.6367173988925461
Lasy losowe,Treningowy,0.8122928442887251,0.7077632783138296,0.18556886144836254,0.7731484145709846,0.29930048119764746,0.23719425914695774,0.6191449352085308
Lasy losowe,Testowy,0.7434132696567357,0.695330283781733,0.1613611775890896,0.6608485499462943,0.2593871044241258,0.0033606112775039503,0.6191449352085308
Reg. log. (bez reg.),Treningowy,0.7489767154790657,0.6869555926171971,0.16069586929381752,0.6814755136099442,0.2600665429509493,0.03476854659389529,0.6366697735835826
Reg. log. (bez reg.),Testowy,0.7477724986677752,0.6920133544344961,0.16151635506474216,0.6715896885069818,0.26040554962646745,0.02082006776250108,0.6366697735835826
